Date,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Beta_Driver,Largest_Beta,Largest_Beta_Abs,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Rolling_Sharpe,Strategy_Drawdown
2001-07-03,0.5172,0.5155067731659286,0.5155067731659286,1.0886577193014668,-0.3279204504834022,1.416578169784869,0.3001630385529027,0.2545214975889616,0.6280445964364464,0.6344208471825427,50,3,"Gold, MSCI World - S&P500, Asia EMFX",0.03447826714058442,Gold,MSCI World - S&P500,Asia EMFX,0.3133810173886408,0.35008662551207864,-0.9714195341646236,True,,0.0016932268340713597,,,NEUTRAL,0,False,-0.014694508894044778,,Asia EMFX,-0.9714195341646236,0.9714195341646236,0.0,0.0,1.0,,0.0
2001-07-04,0.5183,0.5157288360154104,0.5157288360154104,0.2124578297958423,0.04306733610379912,0.16939049369204318,0.26259120535436364,0.21449932744269162,0.6573400099690382,0.6640136837061995,50,3,"Gold, MSCI World - S&P500, Asia EMFX",0.064483023352256,Gold,MSCI World - S&P500,Asia EMFX,0.29999665895964733,0.32989318553262426,-0.8294645010279872,False,,0.002571163984589564,,,NEUTRAL,0,False,-0.004437584410572959,,Asia EMFX,-0.8294645010279872,0.8294645010279872,0.0,0.0,1.0,,0.0
2001-07-05,0.5146,0.5139639590914115,0.5139639590914115,-0.7164325348017142,-0.34279712563576503,-0.3736354091659492,0.26552827127320333,0.21762794113884698,0.6563509986169013,0.6630146313722474,50,3,"Gold, MSCI World - S&P500, Asia EMFX",0.06209735371572422,Gold,MSCI World - S&P500,Asia EMFX,0.3036304729231713,0.33980888500543543,-0.8007017075561627,False,,0.0006360409085884866,,,NEUTRAL,0,False,-0.0029148853478428993,,Asia EMFX,-0.8007017075561627,0.8007017075561627,0.0,-0.0,1.0,,0.0
2001-07-06,0.5091,0.5152720098130702,0.5152720098130702,-1.0745438939353424,0.2541791125498386,-1.328723006485181,0.2690130029544485,0.2213399379297386,0.6520135613508582,0.6586331580811184,50,3,"Gold, MSCI World - S&P500, Asia EMFX",0.041800276672845346,Gold,MSCI World - S&P500,Asia EMFX,0.30171334752680506,0.324552480688773,-0.8978835254987103,False,,-0.006172009813070201,,,NEUTRAL,0,False,-0.006678452170496896,,Asia EMFX,-0.8978835254987103,0.8978835254987103,0.0,-0.0,1.0,,0.0
2001-07-09,0.5107,0.5154196040837559,0.5154196040837559,0.3137872745307968,0.028639851087280493,0.2851474234435163,0.23716850023322245,0.18741861981364993,0.6773219049551339,0.6841984457713791,50,3,"Gold, MSCI World - S&P500, Asia EMFX",0.012449733389996193,Gold,MSCI World - S&P500,Asia EMFX,0.2949043712226748,0.25500434086182067,-0.8787307511571242,False,,-0.004719604083755824,,,NEUTRAL,0,False,-0.004699432151948457,,Asia EMFX,-0.8787307511571242,0.8787307511571242,0.0,0.0,1.0,,0.0
2001-07-10,0.5097,0.5158832623206705,0.5158832623206705,-0.1960016307602119,0.08991699398071407,-0.285918624740926,0.24071627459056943,0.1911977707595196,0.6736902033466409,0.6805298731505055,50,3,"Gold, MSCI World - S&P500, Asia EMFX",0.006244431663857473,Gold,MSCI World - S&P500,Asia EMFX,0.29323105383954995,0.23502870729826683,-1.0290021155495641,False,,-0.006183262320670457,,,NEUTRAL,0,False,0.0003923876790268288,,Asia EMFX,-1.0290021155495641,1.0290021155495641,0.0,-0.0,1.0,,0.0
2001-07-11,0.5053,0.5162445106288515,0.5162445106288515,-0.8670005048133311,0.07000069805308895,-0.9370012028664201,0.23229851192241513,0.18223102356952914,0.6678886917195169,0.674669461418117,50,3,"Gold, MSCI World - S&P500, Asia EMFX",-0.016005787210210124,Gold,MSCI World - S&P500,Asia EMFX,0.2929923735072338,0.19998526692066557,-0.810885502148883,False,,-0.01094451062885149,,,NEUTRAL,0,False,0.005937067088858106,,Asia EMFX,-0.810885502148883,0.810885502148883,0.0,-0.0,1.0,,0.0
2001-07-12,0.5059,0.5130836075242363,0.5130836075242363,0.1186709000027597,-0.6141701532808816,0.7328410532836414,0.21465375796629216,0.16343552479018075,0.6763598868470422,0.683226660731585,50,3,"Gold, MSCI World - S&P500, Asia EMFX",-0.043496517340248154,Gold,MSCI World - S&P500,Asia EMFX,0.2806143870691,0.21756649703649933,-0.8166068657601491,False,,-0.007183607524236302,,,NEUTRAL,0,False,0.006720695789681708,,Asia EMFX,-0.8166068657601491,0.8166068657601491,0.0,0.0,1.0,,0.0
2001-07-13,0.5083,0.5135924028861991,0.5135924028861991,0.473280315496638,0.0991150856660124,0.3741652298306256,0.2124363276918071,0.1610734794977945,0.6762550902802287,0.6831208002129581,50,3,"Gold, MSCI World - S&P500, Asia EMFX",-0.01636594599450003,Gold,MSCI World - S&P500,Asia EMFX,0.2764100720909811,0.1914152583718888,-0.8285895453093592,False,,-0.0052924028861991435,,,NEUTRAL,0,False,0.000590202636238546,,Asia EMFX,-0.8285895453093592,0.8285895453093592,0.0,0.0,1.0,,0.0
2001-07-16,0.5073,0.5134704748749944,0.5134704748749944,-0.196927988021256,-0.023743047172199605,-0.1731849408490564,0.21489967716996128,0.1636974822027848,0.6782020835545165,0.685087560423206,50,3,"Gold, MSCI World - S&P500, Asia EMFX",-0.007370867085936386,Gold,MSCI World - S&P500,Asia EMFX,0.27683309490763597,0.18963547240194206,-0.917240823244695,False,0.1655608406480858,-0.006170474874994447,,,NEUTRAL,0,False,-0.0019712201852947198,,Asia EMFX,-0.917240823244695,0.917240823244695,0.0,-0.0,1.0,,0.0
