Date,Model_Name,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Train_RMSE,Validation_RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Driver_1_SHAP,Driver_2_SHAP,Driver_3_SHAP,Attribution_Method,Best_Params,Alpha,L1_Ratio,N_Estimators,Max_Depth,Learning_Rate,Subsample,Meta_Alpha,Loss_Curve,Final_Loss,Epochs_Trained,Retuned,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Attribution_Driver,Largest_Attribution_Value,Largest_Attribution_Abs,Dominant_Attribution_Method,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Rolling_Sharpe,Strategy_Drawdown
2001-07-03,stacked,0.5172,0.5156193061972392,0.5156193061972392,1.0886577193014668,-0.30609323962925605,1.394750958930723,0.7758559949139284,0.7731113744434868,0.39841566977077997,0.39841566977077997,0.7461719913399716,0.39560410780260075,249,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.055360809093897304,ElasticNetCV,XGBRegressor,LGBMRegressor,0.3441778568806118,0.49082986220073554,0.21114763809975373,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,True,True,,0.0015806938027608242,,,NEUTRAL,0,False,-0.014694508894044778,,XGBRegressor,0.49082986220073554,0.49082986220073554,STACK,0.0,0.0,1.0,,0.0
2001-07-04,stacked,0.5183,0.514630705445061,0.514630705445061,0.2124578297958423,-0.19191478659260558,0.4043726163884479,0.7448958633800773,0.7417848373237368,0.4257449135800637,0.4257449135800637,0.7565042465479569,0.42337536801774084,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.05410655815668855,ElasticNetCV,XGBRegressor,LGBMRegressor,0.34811177854089054,0.4424617174582119,0.2575916402585527,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,0.003669294554939029,,,NEUTRAL,0,False,-0.004437584410572959,,XGBRegressor,0.4424617174582119,0.4424617174582119,STACK,0.0,0.0,1.0,,0.0
2001-07-05,stacked,0.5146,0.5106946563891873,0.5106946563891873,-0.7164325348017142,-0.7677696343484858,0.05133709954677157,0.7238520243557549,0.7204843661161909,0.4422720568125383,0.4422720568125383,0.7548846459338221,0.44067803119824467,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.048925660648188964,ElasticNetCV,XGBRegressor,LGBMRegressor,0.36167923581380323,0.41414439651716206,0.2628809988004356,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,0.0039053436108126283,,,NEUTRAL,0,False,-0.0029148853478428993,,XGBRegressor,0.41414439651716206,0.41414439651716206,STACK,0.0,-0.0,1.0,,0.0
2001-07-06,stacked,0.5091,0.5143361829298527,0.5143361829298527,-1.0745438939353424,0.710523375682847,-1.7850672696181893,0.718613474202998,0.7151819312054737,0.4449207317072434,0.4449207317072434,0.7559099595697719,0.4400788608901696,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.07347326643874838,ElasticNetCV,XGBRegressor,LGBMRegressor,0.40315986267279424,0.42221317759518173,0.22075740933634164,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,-0.0052361829298527285,,,NEUTRAL,0,False,-0.006678452170496896,,XGBRegressor,0.42221317759518173,0.42221317759518173,STACK,0.0,-0.0,1.0,,0.0
2001-07-09,stacked,0.5107,0.5165482198031082,0.5165482198031082,0.3137872745307968,0.4291538920116076,-0.11536661748081078,0.7284326853519039,0.7251208888318051,0.43822153146995757,0.43822153146995757,0.7641583956357898,0.4346958152117546,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.06317369147351636,ElasticNetCV,XGBRegressor,LGBMRegressor,0.4083692045371033,0.4466130062312331,0.17241519650006384,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,-0.005848219803108123,,,NEUTRAL,0,False,-0.004699432151948457,,XGBRegressor,0.4466130062312331,0.4466130062312331,STACK,0.0,0.0,1.0,,0.0
2001-07-10,stacked,0.5097,0.517535239761037,0.517535239761037,-0.1960016307602119,0.19089760087361896,-0.3868992316338309,0.728483206922728,0.7251720265193466,0.4383458228724451,0.4383458228724451,0.7617878138592374,0.43539620276409446,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.060527981736388105,ElasticNetCV,XGBRegressor,LGBMRegressor,0.4239129859073193,0.44183441663570505,0.17810491428676908,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,-0.00783523976103695,,,NEUTRAL,0,False,0.0003923876790268288,,XGBRegressor,0.44183441663570505,0.44183441663570505,STACK,0.0,-0.0,1.0,,0.0
2001-07-11,stacked,0.5053,0.5197200323595135,0.5197200323595135,-0.8670005048133311,0.42126483002143694,-1.2882653348347681,0.7083181559417071,0.7047610602824597,0.4543568340084066,0.4543568340084066,0.7633419508422983,0.4512425965073597,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.06069918272241419,ElasticNetCV,XGBRegressor,LGBMRegressor,0.4427001256154206,0.42858804282412716,0.14346428668292371,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,-0.014420032359513502,,,NEUTRAL,0,False,0.005937067088858106,,ElasticNetCV,0.4427001256154206,0.4427001256154206,STACK,0.0,-0.0,1.0,,0.0
2001-07-12,stacked,0.5059,0.5180908225054143,0.5180908225054143,0.1186709000027597,-0.31397073654132074,0.43264163654408044,0.7111108834022204,0.7075878453949305,0.4516598123921899,0.4516598123921899,0.7652798402468788,0.4480778959935549,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.06445474119562748,ElasticNetCV,XGBRegressor,LGBMRegressor,0.38826384624946303,0.42676706066364956,0.2043097509577555,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,-0.012190822505414256,,,NEUTRAL,0,False,0.006720695789681708,,XGBRegressor,0.42676706066364956,0.42676706066364956,STACK,0.0,0.0,1.0,,0.0
2001-07-13,stacked,0.5083,0.5202143223568277,0.5202143223568277,0.473280315496638,0.40903251275741787,0.06424780273922015,0.682260461705035,0.6783855892868036,0.47349051909206546,0.47349051909206546,0.7670189752736252,0.4692019482984771,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.07028925962118128,ElasticNetCV,XGBRegressor,LGBMRegressor,0.4015679455091448,0.39018998774362484,0.21104829684021065,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,-0.011914322356827767,,,NEUTRAL,0,False,0.000590202636238546,,ElasticNetCV,0.4015679455091448,0.4015679455091448,STACK,0.0,0.0,1.0,,0.0
2001-07-16,stacked,0.5073,0.5204974464421113,0.5204974464421113,-0.196927988021256,0.05440970319668927,-0.25133769121794525,0.6972656724387284,0.6935737903952983,0.462546402595578,0.462546402595578,0.7656797930348601,0.45800572816166607,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.07064029068544231,ElasticNetCV,XGBRegressor,LGBMRegressor,0.3875429482649481,0.40527773894965347,0.20600060620129163,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,-0.0021297077680423604,-0.013197446442111294,,,NEUTRAL,0,False,-0.0019712201852947198,,XGBRegressor,0.40527773894965347,0.40527773894965347,STACK,0.0,-0.0,1.0,,0.0
