Date,Signal,Forward_10d_Return,Hit,Largest_Beta_Driver,Largest_Beta,Largest_Beta_Abs,Driver_1_Name,Driver_1_Beta,Driver_2_Name,Driver_2_Beta,Driver_3_Name,Driver_3_Beta
2001-10-22,SELL,-0.011793730067994335,True,Real 2y yield,1.1147191265804737,1.1147191265804737,Gold,-0.1128388671460485,MSCI World - Wilshire,-0.042953478645090415,Real 2y yield,1.1147191265804737
2001-12-19,BUY,0.007199951186771525,True,Real 2y yield,1.3179119472650143,1.3179119472650143,Gold,-0.5058382927564942,MSCI World - Wilshire,-0.21050162444491766,Real 2y yield,1.3179119472650143
2002-01-02,BUY,0.013029712615684197,True,Real 2y yield,0.9967379304682497,0.9967379304682497,MSCI World - Wilshire,-0.7911760507797461,Gold,-0.47295908629282396,Real 2y yield,0.9967379304682497
2002-07-31,SELL,-0.0013483449066271636,True,Gold,-0.35836272009912584,0.35836272009912584,Local Index,0.09765225689456367,Gold,-0.35836272009912584,,
2002-11-05,BUY,0.0009566108643663807,True,Gold,-0.38945040612536436,0.38945040612536436,Gold,-0.38945040612536436,Local Index,0.08018151093013753,,
2002-11-07,BUY,0.018061491796498075,True,Gold,-0.3385646615253066,0.3385646615253066,Gold,-0.3385646615253066,Local Index,0.08821675697277843,,
2003-03-05,BUY,0.04541694864275514,True,Gold,-0.1642364950978219,0.1642364950978219,Gold,-0.1642364950978219,Local Index,0.014332052495730139,MOVE Index,0.009924779226132906
2004-04-29,BUY,0.009651764342522018,True,Real 2y yield,2.120953940114164,2.120953940114164,Local Index,0.3667638522501352,Gold,-0.4188680993350103,Real 2y yield,2.120953940114164
2004-05-05,BUY,0.002589250686543698,True,Real 2y yield,1.388900209526423,1.388900209526423,Gold,-0.47193664084809483,Local Index,0.3345224599022838,Real 2y yield,1.388900209526423
2005-03-22,BUY,0.027472994811601703,True,Gold,-0.6259184579817453,0.6259184579817453,Gold,-0.6259184579817453,MSCI World ex-US,-0.2754967420638478,,
2005-04-18,BUY,0.010373618959264475,True,Gold,-0.5961978525110629,0.5961978525110629,Gold,-0.5961978525110629,MSCI World ex-US,-0.3402574425287156,,
2005-04-20,BUY,0.01101975078409767,True,Gold,-0.6332680991168315,0.6332680991168315,Gold,-0.6332680991168315,MSCI World ex-US,-0.16609912443121694,,
2005-08-26,BUY,0.002312415277888391,True,Gold,-0.40682680343674993,0.40682680343674993,Gold,-0.40682680343674993,MSCI World ex-US,-0.35367768599920063,,
2005-09-26,SELL,-0.004252029377657562,True,MSCI World ex-US,-0.5261108192529819,0.5261108192529819,Gold,-0.1975972332179883,MSCI World ex-US,-0.5261108192529819,,
2005-10-03,SELL,-0.00015358623867300913,True,MSCI World ex-US,-0.47605460192788823,0.47605460192788823,Gold,-0.1237449206038368,MSCI World ex-US,-0.47605460192788823,,
2005-12-14,BUY,0.02776040037535199,True,MSCI World ex-US,-0.22394582639774613,0.22394582639774613,MSCI World ex-US,-0.22394582639774613,Gold,-0.13919327106545462,,
2006-01-05,BUY,0.004385277995301529,True,MSCI World ex-US,-0.4546109643828844,0.4546109643828844,MSCI World ex-US,-0.4546109643828844,Gold,-0.15164087633163323,,
2006-01-18,BUY,0.0014037276768306128,True,MSCI World ex-US,-0.5018682348438741,0.5018682348438741,MSCI World ex-US,-0.5018682348438741,Gold,-0.030481422883349155,,
2006-01-23,BUY,0.032209440698135694,True,MSCI World ex-US,-0.4638715220994694,0.4638715220994694,MSCI World ex-US,-0.4638715220994694,Gold,0.00393675850555874,,
2006-06-29,SELL,-0.010568454763811075,True,Real 2y yield,1.1417492138830767,1.1417492138830767,MSCI World - Dow Jones,-0.127713671459303,Real 2y yield,1.1417492138830767,Gold,-0.10088611186193774
2006-09-01,BUY,0.018930776730581744,True,Real 2y yield,1.2915948566318514,1.2915948566318514,MSCI World - Dow Jones,-0.6826781122935437,Gold,-0.09280591060643961,Real 2y yield,1.2915948566318514
2007-01-24,SELL,-0.006650108164409918,True,Real 2y yield,0.8552949454072689,0.8552949454072689,MSCI World - Dow Jones,-0.30696703937197994,Gold,-0.26325643274483357,Real 2y yield,0.8552949454072689
2007-01-26,SELL,-0.003989149513323853,True,Real 2y yield,0.8289507172841031,0.8289507172841031,MSCI World - Dow Jones,-0.38984947850992335,Gold,-0.2557039736950155,Real 2y yield,0.8289507172841031
2007-05-21,SELL,-0.009670079635950013,True,Real 2y yield,0.5569181232802574,0.5569181232802574,MSCI World - S&P500,-0.1107143634986126,Gold,-0.1465359426988792,Real 2y yield,0.5569181232802574
2007-09-18,SELL,-0.011857707509881465,True,Real 2y yield,0.5850222723871837,0.5850222723871837,Gold,-0.14916038513707852,MSCI World - Dow Jones,0.026406271716651775,Real 2y yield,0.5850222723871837
2007-10-05,SELL,-0.0035714285714285587,True,Gold,-0.21407976420125946,0.21407976420125946,Gold,-0.21407976420125946,MSCI World - Dow Jones,-0.014817807331230238,,
2007-10-09,SELL,-0.00937658388241247,True,Gold,-0.1991414386480583,0.1991414386480583,Gold,-0.1991414386480583,MSCI World - Dow Jones,-0.008396539983890014,,
2007-10-16,SELL,-0.018257121122474906,True,Gold,-0.1809664206818424,0.1809664206818424,Gold,-0.1809664206818424,MSCI World - Dow Jones,-0.05835597901306545,,
2008-03-17,BUY,0.006186612576065009,True,MSCI World - Wilshire,-0.11846080111156372,0.11846080111156372,Gold,-0.057562011868834285,MSCI World - Wilshire,-0.11846080111156372,,
2008-04-07,SELL,-0.0022673501577287203,True,MSCI World - Wilshire,-0.26654931840507035,0.26654931840507035,Gold,-0.17368118914476988,MSCI World - Wilshire,-0.26654931840507035,,
2008-09-08,SELL,-0.04174774456041053,True,5y yield,1.2394335830772907,1.2394335830772907,Gold,-0.19471783813639762,Local Index,0.13073671788393404,5y yield,1.2394335830772907
