Date,Model_Name,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Train_RMSE,Validation_RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Driver_1_SHAP,Driver_2_SHAP,Driver_3_SHAP,Attribution_Method,Best_Params,Alpha,L1_Ratio,N_Estimators,Max_Depth,Learning_Rate,Subsample,Meta_Alpha,Loss_Curve,Final_Loss,Epochs_Trained,Retuned,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Attribution_Driver,Largest_Attribution_Value,Largest_Attribution_Abs,Dominant_Attribution_Method,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Rolling_Sharpe,Strategy_Drawdown
2001-07-03,elasticnet,0.8484,0.8455986094090575,0.8455986094090575,0.0707463771990685,-0.33074326379123903,0.40148964099030754,0.22866428093533875,0.2223932588291221,0.6888673462379734,0.6888673462379734,0.6985007832731814,0.6902547944638551,249,2,"MSCI World - S&P500, Gold",-0.043500824485451964,MSCI World - S&P500,Gold,,0.27259341107777907,0.2168508870656164,,,,,BETA,"{""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}",0.05336699231206307,0.1,,,,,,,,,True,True,,0.002801390590942532,,,NEUTRAL,0,False,0.013083451202263063,,MSCI World - S&P500,0.27259341107777907,0.27259341107777907,BETA,0.0,0.0,1.0,,0.0
2001-07-04,elasticnet,0.8463,0.8441851073078653,0.8441851073078653,-0.2478316014467074,-0.1672998049275441,-0.08053179651916331,0.2275727993825657,0.2213183281225054,0.6879994433402646,0.6879994433402646,0.6985007832731814,0.689379584031928,250,2,"MSCI World - S&P500, Gold",-0.04187003766784195,MSCI World - S&P500,Gold,,0.271868487636085,0.21569263174063594,,,,,BETA,"{""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}",0.05336699231206307,0.1,,,,,,,,,False,False,,0.0021148926921347178,,,NEUTRAL,0,False,0.03213990310764503,,MSCI World - S&P500,0.271868487636085,0.271868487636085,BETA,0.0,-0.0,1.0,,0.0
2001-07-05,elasticnet,0.8364,0.8410463940533054,0.8410463940533054,-1.1766939121581803,-0.3724968209130492,-0.8041970912451311,0.22817127123078584,0.2219216458966221,0.6878341848919781,0.6878341848919781,0.6985007832731814,0.6892139940718776,250,2,"MSCI World - S&P500, Gold",-0.0431519917480393,MSCI World - S&P500,Gold,,0.2714516232605264,0.2169947741459005,,,,,BETA,"{""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}",0.05336699231206307,0.1,,,,,,,,,False,False,,-0.004646394053305358,,,NEUTRAL,0,False,0.04112864658058335,,MSCI World - S&P500,0.2714516232605264,0.2714516232605264,BETA,0.0,-0.0,1.0,,0.0
2001-07-06,elasticnet,0.8476,0.8431516320184906,0.8431516320184906,1.3301858839665477,0.2499989940689738,1.080186889897574,0.23129498553966643,0.22507065343877297,0.687294992867482,0.687294992867482,0.6985007832731814,0.6886737204173584,250,2,"MSCI World - S&P500, Gold",-0.04996658889191453,MSCI World - S&P500,Gold,,0.2729752487475386,0.21868441684726805,,,,,BETA,"{""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}",0.05336699231206307,0.1,,,,,,,,,False,False,,0.004448367981509382,,,NEUTRAL,0,False,0.027725342142520093,,MSCI World - S&P500,0.2729752487475386,0.2729752487475386,BETA,0.0,0.0,1.0,,0.0
2001-07-09,elasticnet,0.85,0.8425147048994928,0.8425147048994928,0.2827523090218081,-0.07556977740610157,0.35832208642790964,0.2334536621745631,0.22724680923670526,0.6900754747876744,0.6900754747876744,0.6985007832731814,0.6914597800400878,250,2,"MSCI World - S&P500, Gold",-0.047339412573362265,MSCI World - S&P500,Gold,,0.2763972571978452,0.2198194012364588,,,,,BETA,"{""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}",0.05336699231206307,0.1,,,,,,,,,False,False,,0.007485295100507217,,,NEUTRAL,0,False,0.022352941176470686,,MSCI World - S&P500,0.2763972571978452,0.2763972571978452,BETA,0.0,0.0,1.0,,0.0
2001-07-10,elasticnet,0.855,0.845469684320082,0.845469684320082,0.5865119452398093,0.350119640686832,0.23639230455297733,0.23369826985918696,0.22749339755035436,0.6899906952204813,0.6899906952204813,0.6985007832731814,0.6913748304033813,250,2,"MSCI World - S&P500, Gold",-0.044358762374227555,MSCI World - S&P500,Gold,,0.27728020054560476,0.21931781257086314,,,,,BETA,"{""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}",0.05336699231206307,0.1,,,,,,,,,False,False,,0.009530315679918022,,,NEUTRAL,0,False,0.02210526315789485,,MSCI World - S&P500,0.27728020054560476,0.27728020054560476,BETA,0.0,0.0,1.0,,0.0
2001-07-11,elasticnet,0.8588,0.8458861261483651,0.8458861261483651,0.4434597067865753,0.04924355172589499,0.3942161550606803,0.2368878297770014,0.23070878386426452,0.6887451275760083,0.6887451275760083,0.6985007832731814,0.6901267641252147,250,2,"MSCI World - S&P500, Gold",-0.04618061547449148,MSCI World - S&P500,Gold,,0.28048393107957786,0.2188702147029346,,,,,BETA,"{""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}",0.05336699231206307,0.1,,,,,,,,,False,False,,0.012913873851634894,,,NEUTRAL,0,False,0.026199347927340355,,MSCI World - S&P500,0.28048393107957786,0.28048393107957786,BETA,0.0,0.0,1.0,,0.0
2001-07-12,elasticnet,0.8536,0.8412233175590307,0.8412233175590307,-0.6073366017082332,-0.5527585040892271,-0.054578097619006116,0.2359119742386412,0.22972502666162609,0.6891558010459287,0.6891558010459287,0.6985007832731814,0.690538261414358,250,2,"MSCI World - S&P500, Gold",-0.045131343085425824,MSCI World - S&P500,Gold,,0.2786086437423153,0.22040297040878082,,,,,BETA,"{""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}",0.05336699231206307,0.1,,,,,,,,,False,False,,0.012376682440969344,,,NEUTRAL,0,False,0.02823336457357084,,MSCI World - S&P500,0.2786086437423153,0.2786086437423153,BETA,0.0,-0.0,1.0,,0.0
2001-07-13,elasticnet,0.8547,0.8405672836364534,0.8405672836364534,0.1287830184428684,-0.07801612821306576,0.20679914665593419,0.23542224080870267,0.2292313277788136,0.6871725906874122,0.6871725906874122,0.6985007832731814,0.6885510726960589,250,2,"MSCI World - S&P500, Gold",-0.041929172809434305,MSCI World - S&P500,Gold,,0.27635083664401944,0.21929040948830897,,,,,BETA,"{""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}",0.05336699231206307,0.1,,,,,,,,,False,False,,0.014132716363546627,,,NEUTRAL,0,False,0.026559026559026533,,MSCI World - S&P500,0.27635083664401944,0.27635083664401944,BETA,0.0,0.0,1.0,,0.0
2001-07-16,elasticnet,0.8522,0.8421337203461967,0.8421337203461967,-0.2929289106160693,0.18618128336766884,-0.4791101939837381,0.23787672095662515,0.2317056822599176,0.6843037489189022,0.6843037489189022,0.6985007832731814,0.6856764759733829,250,2,"MSCI World - S&P500, Gold",-0.0371045551800516,MSCI World - S&P500,Gold,,0.2779082633051105,0.21916522525172227,,,,,BETA,"{""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}",0.05336699231206307,0.1,,,,,,,,,False,False,0.10546892133051665,0.010066279653803245,,,NEUTRAL,0,False,0.025815536259094163,,MSCI World - S&P500,0.2779082633051105,0.2779082633051105,BETA,0.0,-0.0,1.0,,0.0
2001-07-17,elasticnet,0.8595,0.8390931455249975,0.8390931455249975,0.8529583757092368,-0.3617094394579244,1.2146678151671613,0.23787968087203126,0.23170866614225005,0.6840583700032782,0.6840583700032782,0.6985007832731814,0.6854306048227293,250,2,"MSCI World - S&P500, Gold",-0.04125840602725543,MSCI World - S&P500,Gold,,0.2760413812634591,0.2205545448970071,,,,,BETA,"{""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}",0.05336699231206307,0.1,,,,,,,,,False,False,0.30714144748263383,0.020406854475002567,,,NEUTRAL,0,False,0.01966259453170438,,MSCI World - S&P500,0.2760413812634591,0.2760413812634591,BETA,0.0,0.0,1.0,,0.0
2001-07-18,elasticnet,0.8735,0.8425313980505563,0.8425313980505563,1.615730475120733,0.4089209246846949,1.2068095504360383,0.23449559544787013,0.2282971792166787,0.6837462887464153,0.6837462887464153,0.6985007832731814,0.6851178975246015,250,2,"MSCI World - S&P500, Gold",-0.03133223906732342,MSCI World - S&P500,Gold,,0.2653947775910513,0.22489099027646342,,,,,BETA,"{""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}",0.05336699231206307,0.1,,,,,,,,,False,False,0.4707174662014346,0.03096860194944373,,,NEUTRAL,0,False,0.008586147681740153,,MSCI World - S&P500,0.2653947775910513,0.2653947775910513,BETA,0.0,0.0,1.0,,0.0
2001-07-19,elasticnet,0.8708,0.8419880180219041,0.8419880180219041,-0.3095800213718913,-0.06451454845986952,-0.24506547291202174,0.23881529721299088,0.23265185832402724,0.6877512857867134,0.6877512857867134,0.6985007832731814,0.6891309286693438,250,2,"MSCI World - S&P500, Gold",-0.026388764397019843,MSCI World - S&P500,Gold,,0.2685310826360451,0.22929636786750218,,,,,BETA,"{""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}",0.05336699231206307,0.1,,,,,,,,,False,False,0.3405751136353516,0.02881198197809587,,,NEUTRAL,0,False,0.014699127239320209,,MSCI World - S&P500,0.2685310826360451,0.2685310826360451,BETA,0.0,-0.0,1.0,,0.0
2001-07-20,elasticnet,0.8711,0.8423451147202206,0.8423451147202206,0.0344451464453915,0.04240214678737764,-0.00795700034198614,0.23564224122656585,0.2294531095765785,0.6879261240653598,0.6879261240653598,0.6985007832731814,0.6893061176770863,250,2,"MSCI World - S&P500, Gold",-0.027335682563244642,MSCI World - S&P500,Gold,,0.2679959116958797,0.2298318290196701,,,,,BETA,"{""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}",0.05336699231206307,0.1,,,,,,,,,False,False,0.2772056383667447,0.02875488527977943,,,NEUTRAL,0,False,0.015268051888416956,,MSCI World - S&P500,0.2679959116958797,0.2679959116958797,BETA,0.0,0.0,1.0,,0.0
