Date,Model_Name,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Train_RMSE,Validation_RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Driver_1_SHAP,Driver_2_SHAP,Driver_3_SHAP,Attribution_Method,Best_Params,Alpha,L1_Ratio,N_Estimators,Max_Depth,Learning_Rate,Subsample,Meta_Alpha,Loss_Curve,Final_Loss,Epochs_Trained,Retuned,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Attribution_Driver,Largest_Attribution_Value,Largest_Attribution_Abs,Dominant_Attribution_Method,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Rolling_Sharpe,Strategy_Drawdown
2001-07-03,lgbm,0.8484,0.8461436668204921,0.8461436668204921,0.0707463771990685,-0.26630585651556854,0.33705223371463705,0.3119481014900839,0.30637683105680513,0.6525141037776768,0.6525141037776768,0.6834832705481504,0.6535252093240299,250,2,"MSCI World - S&P500, Gold",,MSCI World - S&P500,Gold,,,,,-0.018899958029075785,-0.22535955419057016,,SHAP,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",,,200,2,0.1,0.8,,,,,True,True,,0.002256333179507908,,,NEUTRAL,0,False,0.013083451202263063,,Gold,-0.22535955419057016,0.22535955419057016,SHAP,0.0,0.0,1.0,,0.0
2001-07-04,lgbm,0.8463,0.8450525406473405,0.8450525406473405,-0.2478316014467074,-0.12903604203108476,-0.11879555941562264,0.3179627814879956,0.31244021291704815,0.6464922823067754,0.6464922823067754,0.6834832705481504,0.6475806442094648,250,2,"MSCI World - S&P500, Gold",,MSCI World - S&P500,Gold,,,,,-0.1402307187472053,0.028018689854885252,,SHAP,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",,,200,2,0.1,0.8,,,,,False,False,,0.0012474593526595745,,,NEUTRAL,0,False,0.03213990310764503,,MSCI World - S&P500,-0.1402307187472053,0.1402307187472053,SHAP,0.0,-0.0,1.0,,0.0
2001-07-05,lgbm,0.8364,0.8426491903776144,0.8426491903776144,-1.1766939121581803,-0.2848076588555771,-0.8918862533026033,0.30728786048800294,0.3016788553097681,0.6516279222974471,0.6516279222974471,0.6834832705481504,0.6525889788136933,250,2,"MSCI World - S&P500, Gold",,MSCI World - S&P500,Gold,,,,,-0.05236575051477481,-0.2175678660491607,,SHAP,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",,,200,2,0.1,0.8,,,,,False,False,,-0.0062491903776144,,,NEUTRAL,0,False,0.04112864658058335,,Gold,-0.2175678660491607,0.2175678660491607,SHAP,0.0,-0.0,1.0,,0.0
2001-07-06,lgbm,0.8476,0.8457354845826851,0.8457354845826851,1.3301858839665477,0.3655917621606286,0.9645941218059191,0.3459197758634124,0.3406235797165573,0.6339847803982271,0.6339847803982271,0.6834832705481504,0.634909812383329,250,2,"MSCI World - S&P500, Gold",,MSCI World - S&P500,Gold,,,,,0.059782255755184685,0.3219829798945255,,SHAP,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",,,200,2,0.1,0.8,,,,,False,False,,0.0018645154173149159,,,NEUTRAL,0,False,0.027725342142520093,,Gold,0.3219829798945255,0.3219829798945255,SHAP,0.0,0.0,1.0,,0.0
2001-07-09,lgbm,0.85,0.8444824906537439,0.8444824906537439,0.2827523090218081,-0.14826420933031692,0.431016518352125,0.3261420772567388,0.3206857378013278,0.6470108383188544,0.6470108383188544,0.6834832705481504,0.6481838175758025,250,2,"MSCI World - S&P500, Gold",,MSCI World - S&P500,Gold,,,,,-0.12211163114250279,-0.0014852515277440502,,SHAP,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",,,200,2,0.1,0.8,,,,,False,False,,0.005517509346256055,,,NEUTRAL,0,False,0.022352941176470686,,MSCI World - S&P500,-0.12211163114250279,0.12211163114250279,SHAP,0.0,0.0,1.0,,0.0
2001-07-10,lgbm,0.855,0.8514218220225395,0.8514218220225395,0.5865119452398093,0.818368117311811,-0.2318561720720017,0.3310377271007293,0.3256210285347433,0.6446799209689137,0.6446799209689137,0.6834832705481504,0.6459022296408578,250,2,"MSCI World - S&P500, Gold",,MSCI World - S&P500,Gold,,,,,0.792414779438004,0.05042607118554041,,SHAP,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",,,200,2,0.1,0.8,,,,,False,False,,0.003578177977460517,,,NEUTRAL,0,False,0.02210526315789485,,MSCI World - S&P500,0.792414779438004,0.792414779438004,SHAP,0.0,0.0,1.0,,0.0
2001-07-11,lgbm,0.8588,0.8537132247095457,0.8537132247095457,0.4434597067865753,0.26876511285372495,0.17469459393285036,0.32226703677890756,0.3167793204775221,0.6490731649562668,0.6490731649562668,0.6834832705481504,0.6502433931911461,250,2,"MSCI World - S&P500, Gold",,MSCI World - S&P500,Gold,,,,,-0.04143195693569561,0.33521320553533523,,SHAP,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",,,200,2,0.1,0.8,,,,,False,False,,0.005086775290454315,,,NEUTRAL,0,False,0.026199347927340355,,Gold,0.33521320553533523,0.33521320553533523,SHAP,0.0,0.0,1.0,,0.0
2001-07-12,lgbm,0.8536,0.8492298729990885,0.8492298729990885,-0.6073366017082332,-0.5265427922747346,-0.08079380943349868,0.33680190629610407,0.3314318812458701,0.6420477878050789,0.6420477878050789,0.6834832705481504,0.6432894635266563,250,2,"MSCI World - S&P500, Gold",,MSCI World - S&P500,Gold,,,,,-0.2659366447947636,-0.23397602170216442,,SHAP,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",,,200,2,0.1,0.8,,,,,False,False,,0.00437012700091155,,,NEUTRAL,0,False,0.02823336457357084,,MSCI World - S&P500,-0.2659366447947636,0.2659366447947636,SHAP,0.0,-0.0,1.0,,0.0
2001-07-13,lgbm,0.8547,0.8510459721389212,0.8510459721389212,0.1287830184428684,0.21362414053899842,-0.08484112209613001,0.32585148574943423,0.32039279332635273,0.6452570955549772,0.6452570955549772,0.6834832705481504,0.6464806979590236,250,2,"MSCI World - S&P500, Gold",,MSCI World - S&P500,Gold,,,,,-0.06307994118414338,0.29965496797706426,,SHAP,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",,,200,2,0.1,0.8,,,,,False,False,,0.0036540278610788235,,,NEUTRAL,0,False,0.026559026559026533,,Gold,0.29965496797706426,0.29965496797706426,SHAP,0.0,0.0,1.0,,0.0
2001-07-16,lgbm,0.8522,0.8518724019725273,0.8518724019725273,-0.2929289106160693,0.0970604241576993,-0.3899893347737686,0.3565792319717531,0.3513693472103907,0.6287584620039817,0.6287584620039817,0.6834832705481504,0.6299845083920602,250,2,"MSCI World - S&P500, Gold",,MSCI World - S&P500,Gold,,,,,0.11896980402919705,-0.005108021617729944,,SHAP,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",,,200,2,0.1,0.8,,,,,False,False,-0.0022712038707898147,0.0003275980274726198,,,NEUTRAL,0,False,0.025815536259094163,,MSCI World - S&P500,0.11896980402919705,0.11896980402919705,SHAP,0.0,-0.0,1.0,,0.0
2001-07-17,lgbm,0.8595,0.8526286456544097,0.8526286456544097,0.8529583757092368,0.0887349095568738,0.764223466152363,0.3326843195782121,0.32728095374483723,0.6400988631175861,0.6400988631175861,0.6834832705481504,0.6412538756731496,250,2,"MSCI World - S&P500, Gold",,MSCI World - S&P500,Gold,,,,,-0.21348062044328706,0.3221972714781655,,SHAP,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",,,200,2,0.1,0.8,,,,,False,False,0.13709146340614706,0.006871354345590386,,,NEUTRAL,0,False,0.01966259453170438,,Gold,0.3221972714781655,0.3221972714781655,SHAP,0.0,0.0,1.0,,0.0
2001-07-18,lgbm,0.8735,0.8563250417345677,0.8563250417345677,1.615730475120733,0.4325923952001044,1.1831380799206288,0.3350264584616921,0.3296420573156329,0.6372697707148766,0.6372697707148766,0.6834832705481504,0.6385029342827611,250,2,"MSCI World - S&P500, Gold",,MSCI World - S&P500,Gold,,,,,0.07501872094684127,0.37407792097539144,,SHAP,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",,,200,2,0.1,0.8,,,,,False,False,0.327281757317871,0.01717495826543236,,,NEUTRAL,0,False,0.008586147681740153,,Gold,0.37407792097539144,0.37407792097539144,SHAP,0.0,0.0,1.0,,0.0
2001-07-19,lgbm,0.8708,0.8543857917762652,0.8543857917762652,-0.3095800213718913,-0.22671871259389398,-0.0828613087779973,0.34785802444585867,0.34257752261950924,0.6365865558249856,0.6365865558249856,0.6834832705481504,0.6378595714589946,250,2,"MSCI World - S&P500, Gold",,MSCI World - S&P500,Gold,,,,,0.00782475287922219,-0.21937479515702035,,SHAP,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",,,200,2,0.1,0.8,,,,,False,False,0.25271029075498586,0.01641420822373485,,,NEUTRAL,0,False,0.014699127239320209,,Gold,-0.21937479515702035,0.21937479515702035,SHAP,0.0,-0.0,1.0,,0.0
2001-07-20,lgbm,0.8711,0.8565176120780312,0.8565176120780312,0.0344451464453915,0.24920418069528713,-0.21475903424989562,0.36534247539784026,0.3602035480731264,0.6268493497832509,0.6268493497832509,0.6834832705481504,0.6280993027108825,250,2,"MSCI World - S&P500, Gold",,MSCI World - S&P500,Gold,,,,,-0.05893292539884351,0.32195616550682404,,SHAP,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",,,200,2,0.1,0.8,,,,,False,False,0.16771586802682556,0.014582387921968754,,,NEUTRAL,0,False,0.015268051888416956,,Gold,0.32195616550682404,0.32195616550682404,SHAP,0.0,0.0,1.0,,0.0
