Date,Model,Signal,Forward_10d_Return,Hit,Attribution_Method,Attribution_Method,Largest_Attribution_Driver,Largest_Attribution_Value,Largest_Attribution_Abs,Driver_1_Name,Driver_1_Beta,Driver_1_SHAP,Driver_2_Name,Driver_2_Beta,Driver_2_SHAP,Driver_3_Name,Driver_3_Beta,Driver_3_SHAP
2001-12-18,OLS,SELL,-0.015930965814802578,True,BETA,BETA,MSCI World - Wilshire,0.3741810186158148,0.3741810186158148,Gold,0.3040519079293281,,MSCI World - Wilshire,0.3741810186158148,,,,
2002-01-02,OLS,SELL,-0.022362448798848633,True,BETA,BETA,Gold,0.30717972657177023,0.30717972657177023,Gold,0.30717972657177023,,MSCI World - Wilshire,0.2993664504441888,,,,
2002-02-05,OLS,BUY,0.009911259651953275,True,BETA,BETA,MSCI World - Wilshire,0.2959053950664543,0.2959053950664543,Gold,0.2748809682986553,,MSCI World - Wilshire,0.2959053950664543,,,,
2002-03-14,OLS,SELL,-0.012804532577903704,True,BETA,BETA,Gold,0.18888540599872128,0.18888540599872128,Local Index,-0.1477864476942596,,Gold,0.18888540599872128,,,,
2002-07-15,OLS,SELL,-0.021242644858880944,True,BETA,BETA,MSCI World - Wilshire,0.4099649046350412,0.4099649046350412,MSCI World - Wilshire,0.4099649046350412,,Gold,0.20999675492856065,,,,
2002-07-25,OLS,SELL,-0.03751990445859865,True,BETA,BETA,MSCI World - Dow Jones,0.22626762387993196,0.22626762387993196,MSCI World - Dow Jones,0.22626762387993196,,Gold,0.21835710115413176,,,,
2002-09-13,OLS,BUY,0.00915826301708167,True,BETA,BETA,MSCI World - Dow Jones,0.2975723731430722,0.2975723731430722,MSCI World - Dow Jones,0.2975723731430722,,Gold,0.20379009851465826,,,,
2003-01-27,OLS,SELL,-0.012438956970422743,True,BETA,BETA,2y yield,0.41469865095186764,0.41469865095186764,Gold,0.21689607922193474,,MSCI World - S&P500,0.29538443824281435,,2y yield,0.41469865095186764,
2003-01-29,OLS,SELL,-0.011441225318324588,True,BETA,BETA,2y yield,0.42262508137856747,0.42262508137856747,Gold,0.22440855991066777,,MSCI World - S&P500,0.2931418579957247,,2y yield,0.42262508137856747,
2003-03-17,OLS,BUY,0.026810912511759044,True,BETA,BETA,2y yield,1.2997800550636989,1.2997800550636989,Gold,0.29090558551075973,,MSCI World - Dow Jones,0.1414199334464639,,2y yield,1.2997800550636989,
2003-05-07,OLS,BUY,0.024390243902439046,True,BETA,BETA,2y yield,1.2665110226600083,1.2665110226600083,Gold,0.29021744044379755,,MSCI World - Dow Jones,0.1454518786376864,,2y yield,1.2665110226600083,
2003-05-15,OLS,BUY,0.045933602669945506,True,BETA,BETA,2y yield,1.1547852780686123,1.1547852780686123,Gold,0.30062182688444844,,MSCI World - Dow Jones,0.13629341814143664,,2y yield,1.1547852780686123,
2003-05-21,OLS,BUY,0.0007735946364104684,True,BETA,BETA,2y yield,1.410034895272013,1.410034895272013,Gold,0.3004406452197085,,MSCI World - Dow Jones,0.1307284684961716,,2y yield,1.410034895272013,
2003-07-07,OLS,BUY,0.0033580770590315723,True,BETA,BETA,2y yield,0.9745398422124287,0.9745398422124287,Gold,0.3279412373510747,,MSCI World - S&P500,0.15868188061056576,,2y yield,0.9745398422124287,
2003-07-11,OLS,BUY,0.01913028075458345,True,BETA,BETA,2y yield,1.1991019523395028,1.1991019523395028,Gold,0.3093066737334877,,MSCI World - S&P500,0.21268118871326516,,2y yield,1.1991019523395028,
2004-01-06,OLS,SELL,-0.011470773098680054,True,BETA,BETA,Gold,0.32732642116821176,0.32732642116821176,Local Index,-0.14380666826525612,,Gold,0.32732642116821176,,,,
2004-01-08,OLS,SELL,-0.0037596929584082783,True,BETA,BETA,Gold,0.3298352151026386,0.3298352151026386,Local Index,-0.1449371331421895,,Gold,0.3298352151026386,,,,
2004-03-02,OLS,BUY,0.004666011787819224,True,BETA,BETA,Gold,0.39718123306997927,0.39718123306997927,Gold,0.39718123306997927,,Local Index,-0.15499263683248649,,,,
2004-07-30,OLS,BUY,0.029536567102088407,True,BETA,BETA,10y yield,2.1152653259917327,2.1152653259917327,Gold,0.4642581739955402,,MSCI World - Dow Jones,0.164840033061735,,10y yield,2.1152653259917327,
2004-11-26,OLS,SELL,-0.005339550274498062,True,BETA,BETA,10y yield,2.892791679785737,2.892791679785737,Gold,0.47617721924973977,,MSCI World ex-US,0.04690785474910951,,10y yield,2.892791679785737,
2004-12-03,OLS,SELL,-0.01092611862643078,True,BETA,BETA,10y yield,2.8162480616226486,2.8162480616226486,Gold,0.4771549135130511,,MSCI World ex-US,0.04252684853450418,,10y yield,2.8162480616226486,
2005-01-20,OLS,BUY,0.0009257116408238897,True,BETA,BETA,10y yield,2.3186774677984916,2.3186774677984916,Gold,0.476958255190896,,MSCI World ex-US,0.03988836066785857,,10y yield,2.3186774677984916,
2005-04-04,OLS,BUY,0.013855374795672226,True,BETA,BETA,10y yield,1.3534321749316318,1.3534321749316318,Gold,0.46691953098923733,,MSCI World ex-US,0.08819794377894312,,10y yield,1.3534321749316318,
2005-04-13,OLS,BUY,0.0011614401858301981,True,BETA,BETA,Gold,0.4685463732354159,0.4685463732354159,Gold,0.4685463732354159,,MSCI World ex-US,0.09650099560344234,,,,
