Date,Dynamic_Threshold,Action_Adjustment,Policy_Position,Reward,Policy_Equity_Curve
2001-09-24,1.5,-0.5,0,0.0,1.0
2001-09-25,2.5,0.5,0,0.0,1.0
2001-09-26,1.5,-0.5,1,-0.005199870003249951,0.99480012999675
2001-09-27,1.5,-0.5,1,-0.007513884351519118,0.9873253168670783
2001-09-28,1.5,-0.5,1,0.006692999780557374,0.9939334849962084
2001-10-01,1.5,-0.5,1,0.0015258855585831288,0.9954501137471563
2001-10-02,1.5,-0.5,1,-0.0047883338774622475,0.9906835662441772
2001-10-03,1.5,-0.5,1,0.0036085292509566713,0.9942584768714113
2001-10-04,2.5,0.5,0,0.0,0.9942584768714113
2001-10-05,1.5,-0.5,1,0.002395731242513355,0.996640452967586
2001-10-08,2.5,0.5,0,-0.0,0.996640452967586
2001-10-09,1.5,-0.5,1,-0.0024091108190976707,0.9942394356695914
2001-10-10,2.0,0.0,0,-0.0,0.9942394356695914
2001-10-11,2.0,0.0,0,0.0,0.9942394356695914
2001-10-12,2.0,0.0,0,-0.0,0.9942394356695914
2001-10-15,2.5,0.5,0,-0.0,0.9942394356695914
2001-10-16,2.5,0.5,0,-0.0,0.9942394356695914
2001-10-17,2.5,0.5,0,-0.0,0.9942394356695914
2001-10-18,2.0,0.0,0,-0.0,0.9942394356695914
2001-10-19,2.5,0.5,0,-0.0,0.9942394356695914
2001-10-22,2.0,0.0,0,-0.0,0.9942394356695914
2001-10-23,2.5,0.5,0,0.0,0.9942394356695914
2001-10-24,2.0,0.0,0,-0.0,0.9942394356695914
2001-10-25,2.0,0.0,0,0.0,0.9942394356695914
2001-10-26,2.5,0.5,0,0.0,0.9942394356695914
2001-10-29,1.5,-0.5,0,-0.0,0.9942394356695914
2001-10-30,1.5,-0.5,0,-0.0,0.9942394356695914
2001-10-31,1.5,-0.5,0,0.0,0.9942394356695914
2001-11-01,1.5,-0.5,0,0.0,0.9942394356695914
2001-11-02,1.5,-0.5,0,-0.0,0.9942394356695914
2001-11-05,1.5,-0.5,0,-0.0,0.9942394356695914
2001-11-06,1.5,-0.5,0,0.0,0.9942394356695914
2001-11-07,1.5,-0.5,0,-0.0,0.9942394356695914
2001-11-08,1.5,-0.5,0,0.0,0.9942394356695914
2001-11-09,2.5,0.5,0,-0.0,0.9942394356695914
2001-11-12,2.5,0.5,0,-0.0,0.9942394356695914
2001-11-13,2.0,0.0,0,0.0,0.9942394356695914
2001-11-14,2.0,0.0,0,-0.0,0.9942394356695914
2001-11-15,1.5,-0.5,0,0.0,0.9942394356695914
2001-11-16,1.5,-0.5,0,-0.0,0.9942394356695914
2001-11-19,1.5,-0.5,0,0.0,0.9942394356695914
2001-11-20,2.0,0.0,0,-0.0,0.9942394356695914
2001-11-21,2.0,0.0,0,-0.0,0.9942394356695914
2001-11-22,2.0,0.0,0,0.0,0.9942394356695914
2001-11-23,2.0,0.0,0,0.0,0.9942394356695914
