Date,Model_Name,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Train_RMSE,Validation_RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Driver_1_SHAP,Driver_2_SHAP,Driver_3_SHAP,Attribution_Method,Best_Params,Alpha,L1_Ratio,N_Estimators,Max_Depth,Learning_Rate,Subsample,Meta_Alpha,Loss_Curve,Final_Loss,Epochs_Trained,Retuned,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Attribution_Driver,Largest_Attribution_Value,Largest_Attribution_Abs,Dominant_Attribution_Method,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Rolling_Sharpe,Strategy_Drawdown
2001-07-03,stacked,0.8484,0.846208467984786,0.846208467984786,0.0707463771990685,-0.2586477382087592,0.3293941154078277,0.48982905790779996,0.4835820667801404,0.5602369339815358,0.5602369339815358,0.679387562897833,0.5613457794802366,249,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.0038033635056104083,ElasticNetCV,XGBRegressor,LGBMRegressor,0.3147755369975208,0.375400876944309,0.33284708398552104,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,True,True,,0.0021915320152140483,,,NEUTRAL,0,False,0.013083451202263063,,XGBRegressor,0.375400876944309,0.375400876944309,STACK,0.0,0.0,1.0,,0.0
2001-07-04,stacked,0.8463,0.8442190605372508,0.8442190605372508,-0.2478316014467074,-0.23537339902741333,-0.012458202419294073,0.48053309537232236,0.4741981331207653,0.5642067132278951,0.5642067132278951,0.6746797476547824,0.5653173373065505,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.003132459951905576,ElasticNetCV,XGBRegressor,LGBMRegressor,0.3178588700920993,0.413654947234921,0.27138755480601423,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,0.0020809394627492317,,,NEUTRAL,0,False,0.03213990310764503,,XGBRegressor,0.413654947234921,0.413654947234921,STACK,0.0,-0.0,1.0,,0.0
2001-07-05,stacked,0.8364,0.8432234611517898,0.8432234611517898,-1.1766939121581803,-0.1180009971526788,-1.0586929150055016,0.4794790425895167,0.4731312260357303,0.5648620479605782,0.5648620479605782,0.6742229805682528,0.5659060660753955,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.011038188895525672,ElasticNetCV,XGBRegressor,LGBMRegressor,0.33844565673365623,0.3830717638770163,0.3128665327684069,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,-0.006823461151789778,,,NEUTRAL,0,False,0.04112864658058335,,XGBRegressor,0.3830717638770163,0.3830717638770163,STACK,0.0,-0.0,1.0,,0.0
2001-07-06,stacked,0.8476,0.8457659169081954,0.8457659169081954,1.3301858839665477,0.3010626010803509,1.029123282886197,0.4559579812330278,0.4493233224675769,0.578201940215625,0.578201940215625,0.6766765741972969,0.5791104117708438,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.018679604658759567,ElasticNetCV,XGBRegressor,LGBMRegressor,0.32401814971528065,0.32763045735390983,0.3826950142959542,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,0.0018340830918046613,,,NEUTRAL,0,False,0.027725342142520093,,LGBMRegressor,0.3826950142959542,0.3826950142959542,STACK,0.0,0.0,1.0,,0.0
2001-07-09,stacked,0.85,0.8432109424197122,0.8432109424197122,0.2827523090218081,-0.3025472401568914,0.5852995491786994,0.5116056119380867,0.5056495828153804,0.5508238276985429,0.5508238276985429,0.6806884897330361,0.5513712706238425,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.02747387562580999,ElasticNetCV,XGBRegressor,LGBMRegressor,0.3114242016673524,0.3624309630368051,0.38689500143054023,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,0.006789057580287805,,,NEUTRAL,0,False,0.022352941176470686,,LGBMRegressor,0.38689500143054023,0.38689500143054023,STACK,0.0,0.0,1.0,,0.0
2001-07-10,stacked,0.855,0.8482971627928876,0.8482971627928876,0.5865119452398093,0.6013847272342238,-0.014872781994414441,0.4699216339206519,0.4634572636026111,0.5738698006788919,0.5738698006788919,0.6906558175277954,0.574592573016272,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.022501342984794347,ElasticNetCV,XGBRegressor,LGBMRegressor,0.33786857212775706,0.3445192425478446,0.2984472546148207,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,0.0067028372071124,,,NEUTRAL,0,False,0.02210526315789485,,XGBRegressor,0.3445192425478446,0.3445192425478446,STACK,0.0,0.0,1.0,,0.0
2001-07-11,stacked,0.8588,0.8501309921317306,0.8501309921317306,0.4434597067865753,0.21594437729394933,0.22751532949262598,0.47840979570825226,0.4720489395583529,0.5694152089768316,0.5694152089768316,0.6853823469515155,0.5692234249867576,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.037966510904408564,ElasticNetCV,XGBRegressor,LGBMRegressor,0.3165760040861263,0.39114553329720825,0.2838121668778038,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,0.008669007868269407,,,NEUTRAL,0,False,0.026199347927340355,,XGBRegressor,0.39114553329720825,0.39114553329720825,STACK,0.0,0.0,1.0,,0.0
2001-07-12,stacked,0.8536,0.8457347410398838,0.8457347410398838,-0.6073366017082332,-0.5184680430515894,-0.08886855865664378,0.48629755898956784,0.4800328950748065,0.5650690672985614,0.5650690672985614,0.6832163549734608,0.564975614144835,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.03966407416646123,ElasticNetCV,XGBRegressor,LGBMRegressor,0.33439979784041224,0.40539899334761875,0.29393691094250146,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,0.00786525896011625,,,NEUTRAL,0,False,0.02823336457357084,,XGBRegressor,0.40539899334761875,0.40539899334761875,STACK,0.0,-0.0,1.0,,0.0
2001-07-13,stacked,0.8547,0.8470604187842263,0.8470604187842263,0.1287830184428684,0.15662592223971022,-0.027842903796841817,0.4597687369221135,0.45318055078701736,0.5776235012204545,0.5776235012204545,0.6865295017724801,0.5779773689279418,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.030524002729910692,ElasticNetCV,XGBRegressor,LGBMRegressor,0.37923546632454413,0.3975856970150006,0.22767509386689813,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,,0.007639581215773683,,,NEUTRAL,0,False,0.026559026559026533,,XGBRegressor,0.3975856970150006,0.3975856970150006,STACK,0.0,0.0,1.0,,0.0
2001-07-16,stacked,0.8522,0.848590458370052,0.848590458370052,-0.2929289106160693,0.18046639455022506,-0.47339530516629436,0.48147547351950615,0.47515200368437815,0.5644441254055569,0.5644441254055569,0.6849378328133126,0.5650492470566292,250,3,"ElasticNetCV, XGBRegressor, LGBMRegressor",0.025325038290096472,ElasticNetCV,XGBRegressor,LGBMRegressor,0.3733675075926882,0.39308752050349166,0.2865703748858786,,,,STACK,"{""base_models"": {""elasticnet"": {""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}}, ""meta_alpha"": 8.111308307896856}",,,,,,,8.111308307896856,,,,False,False,0.02198468105832982,0.0036095416299479766,,,NEUTRAL,0,False,0.025815536259094163,,XGBRegressor,0.39308752050349166,0.39308752050349166,STACK,0.0,-0.0,1.0,,0.0
