Date,Model,Signal,Forward_10d_Return,Hit,Attribution_Method,Largest_Attribution_Driver,Largest_Attribution_Value,Largest_Attribution_Abs,Driver_1_Name,Driver_1_Beta,Driver_1_SHAP,Driver_2_Name,Driver_2_Beta,Driver_2_SHAP,Driver_3_Name,Driver_3_Beta,Driver_3_SHAP,Dominant_Attribution_Method
2001-10-19,OLS,BUY,0.0207955338450802,True,BETA,5y yield,0.5226243543854523,0.5226243543854523,MSCI World - Wilshire,0.1684856781201729,,Gold,0.1417843234787503,,5y yield,0.5226243543854523,,
2002-01-25,OLS,BUY,0.0048288595369976,True,BETA,MSCI World - Wilshire,0.1861791600901101,0.1861791600901101,MSCI World - Wilshire,0.1861791600901101,,Gold,0.1527085663215026,,,,,
2002-02-06,OLS,BUY,0.010549419427924,True,BETA,MSCI World - Wilshire,0.2032416439975164,0.2032416439975164,MSCI World - Wilshire,0.2032416439975164,,Gold,0.1451148031973279,,,,,
2002-04-01,OLS,SELL,-0.0025673050235914,True,BETA,MSCI World - Wilshire,0.1532420468570577,0.1532420468570577,Gold,0.1241755331228107,,MSCI World - Wilshire,0.1532420468570577,,,,,
2002-07-24,OLS,SELL,-0.0211724313326551,True,BETA,Real 2y yield,0.3487181845850992,0.3487181845850992,Gold,0.1325847477143651,,MSCI World - Dow Jones,0.1098217334581528,,Real 2y yield,0.3487181845850992,,
2002-08-27,OLS,BUY,0.0134219442272609,True,BETA,Real 2y yield,0.2085533646054128,0.2085533646054128,Gold,0.1449459272340945,,MSCI World - Dow Jones,0.089672626130957,,Real 2y yield,0.2085533646054128,,
2002-11-25,OLS,BUY,0.0103507763082231,True,BETA,MSCI World - S&P500,0.2005637969300101,0.2005637969300101,MSCI World - S&P500,0.2005637969300101,,Gold,0.1050726630128811,,Real 2y yield,0.1235896173429741,,
2003-02-20,OLS,BUY,0.0053351744915892,True,BETA,MSCI World - S&P500,0.1772266451484414,0.1772266451484414,Gold,0.1635424351759277,,MSCI World - S&P500,0.1772266451484414,,Real 2y yield,0.0843041544961311,,
2003-05-20,OLS,SELL,-0.007433132273198,True,BETA,5y yield,0.2420328566344338,0.2420328566344338,Gold,0.1800054569639252,,MSCI World - Dow Jones,0.0990103968820653,,5y yield,0.2420328566344338,,
2003-07-15,OLS,BUY,0.0204248366013071,True,BETA,5y yield,0.3833073025295104,0.3833073025295104,Gold,0.1832575970459854,,MSCI World - S&P500,0.1651618402345347,,5y yield,0.3833073025295104,,
