Date,Model,Signal,Forward_10d_Return,Hit,Attribution_Method,Largest_Attribution_Driver,Largest_Attribution_Value,Largest_Attribution_Abs,Driver_1_Name,Driver_1_Beta,Driver_1_SHAP,Driver_2_Name,Driver_2_Beta,Driver_2_SHAP,Driver_3_Name,Driver_3_Beta,Driver_3_SHAP,Dominant_Attribution_Method
2001-12-18,OLS,BUY,0.0148111298291633,True,BETA,MSCI World - Wilshire,-0.2664038038412818,0.2664038038412818,Gold,-0.2482690219582687,,MSCI World - Wilshire,-0.2664038038412818,,,,,
2002-02-05,OLS,SELL,-0.0205478695800993,True,BETA,Gold,-0.2307286286251403,0.2307286286251403,Gold,-0.2307286286251403,,MSCI World - Wilshire,-0.1843644984786892,,,,,
2002-03-14,OLS,BUY,0.0119690240291538,True,BETA,MSCI World - Wilshire,-0.2556194472329401,0.2556194472329401,MSCI World - Wilshire,-0.2556194472329401,,Gold,-0.1994397487170408,,,,,
2002-08-06,OLS,SELL,-0.0398550724637681,True,BETA,MSCI World - Wilshire,-0.3090544122492624,0.3090544122492624,MSCI World - Wilshire,-0.3090544122492624,,Gold,-0.2142056100634758,,Real 2y yield,-0.1804281133080383,,
2002-10-17,OLS,SELL,-0.0289203840376199,True,BETA,MSCI World - Wilshire,-0.3408722665474465,0.3408722665474465,Gold,-0.2178163755085255,,MSCI World - Wilshire,-0.3408722665474465,,Real 2y yield,-0.3345348634067918,,
2003-01-20,OLS,BUY,0.0118439861139472,True,BETA,Real 2y yield,-0.6007622968576886,0.6007622968576886,Gold,-0.2345857403546711,,MSCI World - Dow Jones,-0.2147126866291435,,Real 2y yield,-0.6007622968576886,,
2003-03-17,OLS,SELL,-0.0112176218641647,True,BETA,Gold,-0.3183956198344838,0.3183956198344838,Gold,-0.3183956198344838,,MSCI World - Dow Jones,-0.14646486233654,,Real 2y yield,-0.1305166760373597,,
2003-05-23,OLS,BUY,0.0489244727513069,True,BETA,Gold,-0.2832605890214719,0.2832605890214719,Gold,-0.2832605890214719,,MSCI World - Dow Jones,-0.1791682865190931,,Real 2y yield,-0.1821443697828261,,
2003-07-11,OLS,SELL,-0.0298793412685471,True,BETA,Gold,-0.2913328207897429,0.2913328207897429,Gold,-0.2913328207897429,,MSCI World - Dow Jones,-0.2065216569921978,,Real 2y yield,-0.2348047242144282,,
2003-12-05,OLS,BUY,0.0121048991007788,True,BETA,MSCI World - Dow Jones,-0.3407494727878031,0.3407494727878031,MSCI World - Dow Jones,-0.3407494727878031,,Gold,-0.2726205407936587,,Real 2y yield,-0.1953849403409733,,
2004-01-28,OLS,SELL,-0.0097589636295892,True,BETA,Real 2y yield,-1.0070412298988702,1.0070412298988702,Real 2y yield,-1.0070412298988702,,MSCI World - S&P500,-0.4248746069267313,,Gold,-0.2785857866033071,,
2004-05-04,OLS,BUY,0.0188915392997024,True,BETA,Real 2y yield,-1.094326280910782,1.094326280910782,Gold,-0.3658089519004191,,Real 2y yield,-1.094326280910782,,MSCI World - S&P500,-0.2827146872517028,,
