Date,Model,Signal,Forward_10d_Return,Hit,Attribution_Method,Largest_Attribution_Driver,Largest_Attribution_Value,Largest_Attribution_Abs,Driver_1_Name,Driver_1_Beta,Driver_1_SHAP,Driver_2_Name,Driver_2_Beta,Driver_2_SHAP,Driver_3_Name,Driver_3_Beta,Driver_3_SHAP,Dominant_Attribution_Method
2001-12-25,OLS,BUY,0.0381274131274131,True,BETA,2y yield,0.8878160513178947,0.8878160513178947,Gold,0.2356341479758747,,MSCI World ex-US,0.1436014266455157,,2y yield,0.8878160513178947,,
2003-03-12,OLS,BUY,0.001279941488389,True,BETA,Gold,0.1979872189239576,0.1979872189239576,Gold,0.1979872189239576,,MSCI EM,0.1462768589847875,,VIX Index,-0.0122873633001538,,
2003-04-04,OLS,BUY,0.0297762160162751,True,BETA,Gold,0.2077035302940504,0.2077035302940504,Gold,0.2077035302940504,,VIX Index,-0.0146690972803293,,MSCI EM,0.1449179608151069,,
2003-04-11,OLS,BUY,0.0170454545454545,True,BETA,Gold,0.2099822004350136,0.2099822004350136,Gold,0.2099822004350136,,VIX Index,-0.0155698489525818,,MSCI EM,0.1341169602549305,,
2003-04-23,OLS,BUY,0.0234699404224589,True,BETA,Gold,0.192769587997262,0.192769587997262,Gold,0.192769587997262,,VIX Index,-0.0188471576351919,,MSCI EM,0.1254377291571454,,
2003-06-05,OLS,BUY,0.0077773937089524,True,BETA,Gold,0.2013373222856194,0.2013373222856194,Gold,0.2013373222856194,,MSCI EM,0.1242152324944519,,VIX Index,-0.009476608330086,,
2003-07-18,OLS,BUY,0.0193683475833188,True,BETA,Real 2y yield,0.6395345026315109,0.6395345026315109,Gold,0.151048619306805,,Real 2y yield,0.6395345026315109,,MSCI World - Wilshire,0.0283915141237173,,
2003-07-29,OLS,SELL,-0.0011914893617022,True,BETA,Real 2y yield,0.53199654713875,0.53199654713875,Gold,0.1487294588785561,,MSCI World - Wilshire,0.0693723923038988,,Real 2y yield,0.53199654713875,,
2004-01-08,OLS,SELL,-0.0010329054153753,True,BETA,5y yield,0.9857808328957096,0.9857808328957096,MSCI World - Dow Jones,0.235508645549251,,Gold,0.2065333005172885,,5y yield,0.9857808328957096,,
2004-03-25,OLS,BUY,0.0213589227673736,True,BETA,5y yield,1.4001546463324772,1.4001546463324772,MSCI World ex-US,0.2859438961126976,,Gold,0.2904936472068161,,5y yield,1.4001546463324772,,
2004-07-16,OLS,SELL,-0.0338288834951455,True,BETA,Asia EMFX,-0.7558977011548599,0.7558977011548599,Gold,0.4189827081279191,,MSCI World ex-US,0.3074586904282103,,Asia EMFX,-0.7558977011548599,,
2004-08-12,OLS,SELL,-0.0106286061342241,True,BETA,5y yield,1.5136382258434884,1.5136382258434884,Gold,0.457640257775376,,MSCI World ex-US,0.3207936736102554,,5y yield,1.5136382258434884,,
2004-09-21,OLS,BUY,0.0153637596023497,True,BETA,2y yield,1.567062781404888,1.567062781404888,Gold,0.4524051457840252,,MSCI World ex-US,0.3193371533280887,,2y yield,1.567062781404888,,
2004-10-01,OLS,BUY,0.0179312388855956,True,BETA,2y yield,1.5059572989006358,1.5059572989006358,Gold,0.4610547631690422,,MSCI World ex-US,0.3135957862270135,,2y yield,1.5059572989006358,,
2005-03-28,OLS,BUY,0.0186519711742263,True,BETA,2y yield,2.797746007342928,2.797746007342928,Gold,0.4044409727284317,,MSCI World ex-US,0.3718424402741866,,2y yield,2.797746007342928,,
2005-03-30,OLS,BUY,0.0226052557219553,True,BETA,2y yield,2.844245842304528,2.844245842304528,Gold,0.4042069823838422,,MSCI World ex-US,0.3752442535932483,,2y yield,2.844245842304528,,
2005-07-13,OLS,BUY,0.010102510771059,True,BETA,2y yield,2.264335146485628,2.264335146485628,Gold,0.4091509042040798,,MSCI World ex-US,0.2874222809147839,,2y yield,2.264335146485628,,
2005-12-05,OLS,SELL,-0.0425946547884188,True,BETA,Real 2y yield,0.4689777924578494,0.4689777924578494,MSCI World ex-US,0.3448894698000889,,Gold,0.2738207561022594,,Real 2y yield,0.4689777924578494,,
2005-12-22,OLS,BUY,0.0204960641615921,True,BETA,Real 2y yield,0.5571453720165263,0.5571453720165263,MSCI World ex-US,0.3632214102625982,,Gold,0.2529520784544244,,Real 2y yield,0.5571453720165263,,
2006-01-03,OLS,BUY,0.0096448925909686,True,BETA,Real 2y yield,0.4285145675792013,0.4285145675792013,MSCI World ex-US,0.3595758546268994,,Gold,0.2430199091303161,,Real 2y yield,0.4285145675792013,,
2006-05-24,OLS,SELL,-0.0096412201675359,True,BETA,Real 2y yield,0.5944147241583849,0.5944147241583849,MSCI World ex-US,0.1826453888603977,,Gold,0.1598572398008608,,Real 2y yield,0.5944147241583849,,
2006-05-30,OLS,SELL,-0.0310694769711161,True,BETA,Real 2y yield,0.6014154209821374,0.6014154209821374,Gold,0.1429870166638068,,MSCI World ex-US,0.169074845500676,,Real 2y yield,0.6014154209821374,,
2006-09-14,OLS,SELL,-0.0064993954050786,True,BETA,5y yield,2.1524993218161783,2.1524993218161783,5y yield,2.1524993218161783,,Gold,0.1171777901347656,,MSCI World - Dow Jones,0.1499422289624254,,
2006-09-25,OLS,SELL,-0.0198418618529016,True,BETA,5y yield,2.081699794423312,2.081699794423312,5y yield,2.081699794423312,,Gold,0.1038723694171764,,MSCI World - Dow Jones,0.1735729379571962,,
2007-04-17,OLS,SELL,-0.006038647342995,True,BETA,10y yield,2.7144386803379925,2.7144386803379925,Gold,0.1010762589348016,,MSCI World ex-US,0.1187541785990164,,10y yield,2.7144386803379925,,
2008-01-10,OLS,SELL,-0.0141383263278562,True,BETA,Real 2y yield,-1.042161833843816,1.042161833843816,Gold,0.2206314847999165,,MSCI World ex-US,0.409479878725817,,Real 2y yield,-1.042161833843816,,
2008-02-22,OLS,SELL,-0.018548287374799,True,BETA,MSCI World ex-US,0.3111333567630964,0.3111333567630964,Gold,0.2960164405891493,,MSCI World ex-US,0.3111333567630964,,VIX Index,-0.0217113573270895,,
2008-07-15,OLS,SELL,-0.0418122977346278,True,BETA,Asia EMFX,-0.3259785472976746,0.3259785472976746,Copper LME,0.1164468940730981,,MSCI World ex-US,0.2808919409572193,,Asia EMFX,-0.3259785472976746,,
2008-08-08,OLS,BUY,0.0063893227317903,True,BETA,Real 2y yield,-0.7177974044482074,0.7177974044482074,Copper LME,0.1009496326856335,,MSCI World ex-US,0.2429398285518544,,Real 2y yield,-0.7177974044482074,,
2008-08-14,OLS,BUY,0.0025710612769604,True,BETA,Asia EMFX,-0.5801892374922349,0.5801892374922349,Copper LME,0.1142114644624073,,MSCI World ex-US,0.2052440546387285,,Asia EMFX,-0.5801892374922349,,
2008-10-27,OLS,BUY,0.0716660509789435,True,BETA,Asia EMFX,0.4248586368261273,0.4248586368261273,Copper LME,0.173020088750115,,MSCI EM,0.1767690479832618,,Asia EMFX,0.4248586368261273,,
2008-11-11,OLS,SELL,-0.042467668647326,True,BETA,Asia EMFX,0.2411603473334942,0.2411603473334942,Copper LME,0.1360543011229362,,MSCI EM,0.2096372956275013,,Asia EMFX,0.2411603473334942,,
2008-12-16,OLS,SELL,-0.0013819312489203,True,BETA,Asia EMFX,0.2352640915312913,0.2352640915312913,MSCI EM,0.2155304271434905,,Copper LME,0.1344269740546075,,Asia EMFX,0.2352640915312913,,
2009-04-03,OLS,SELL,-0.0302202492743726,True,BETA,MSCI World ex-US,0.2987068874531739,0.2987068874531739,MSCI World ex-US,0.2987068874531739,,BCOM Index,0.1575869502939473,,Asia EMFX,0.1000299991361238,,
2009-07-21,OLS,BUY,0.0240158078735368,True,BETA,Asia EMFX,0.4409843072195255,0.4409843072195255,BCOM Index,0.2259339402726327,,MSCI World ex-US,0.3129425415571393,,Asia EMFX,0.4409843072195255,,
2009-07-30,OLS,BUY,0.0410916896657467,True,BETA,Asia EMFX,0.4741449971798767,0.4741449971798767,MSCI World ex-US,0.3244977824152754,,BCOM Index,0.2090562130426507,,Asia EMFX,0.4741449971798767,,
2009-11-26,OLS,BUY,0.0185909980430527,True,BETA,Asia EMFX,0.4546900437816339,0.4546900437816339,MSCI World ex-US,0.3759231189956573,,BCOM Index,0.242476831923326,,Asia EMFX,0.4546900437816339,,
2010-04-28,OLS,SELL,-0.0106810930780968,True,BETA,MSCI World ex-US,0.444747774313928,0.444747774313928,MSCI World ex-US,0.444747774313928,,Oil,0.1018409895428697,,Asia EMFX,0.3821669574140014,,
2010-10-21,OLS,BUY,0.0654418667024272,True,BETA,MSCI World ex-US,0.3260695551006443,0.3260695551006443,BCOM Index,0.2465353058226375,,MSCI World ex-US,0.3260695551006443,,Asia EMFX,-0.0853223417837011,,
2010-12-15,OLS,BUY,0.0390698931999458,True,BETA,MSCI World ex-US,0.2884090183116133,0.2884090183116133,Oil,0.1524230730733586,,MSCI World ex-US,0.2884090183116133,,Asia EMFX,-0.1440587216103828,,
2011-07-29,OLS,SELL,-0.0535653360627771,True,BETA,MSCI EM,0.4159609862191384,0.4159609862191384,MSCI EM,0.4159609862191384,,Gold,0.2297484137743337,,Asia EMFX,-0.0179465297203001,,
2012-03-20,OLS,BUY,0.0020802741067056,True,BETA,MSCI World ex-US,0.3585842102083795,0.3585842102083795,BCOM Index,0.1759553448340467,,MSCI World ex-US,0.3585842102083795,,Asia EMFX,-0.0245497590052802,,
