Date,Model,Signal,Forward_10d_Return,Hit,Attribution_Method,Largest_Attribution_Driver,Largest_Attribution_Value,Largest_Attribution_Abs,Driver_1_Name,Driver_1_Beta,Driver_1_SHAP,Driver_2_Name,Driver_2_Beta,Driver_2_SHAP,Driver_3_Name,Driver_3_Beta,Driver_3_SHAP,Dominant_Attribution_Method
2001-09-25,OLS,SELL,-0.012368798044962,True,BETA,Gold,-0.28620772045079,0.28620772045079,MSCI World ex-US,-0.2597027014329107,,Gold,-0.28620772045079,,,,,
2001-12-24,OLS,SELL,-0.0453054094769822,True,BETA,Gold,-0.2370371078301871,0.2370371078301871,MSCI World ex-US,-0.214973440090434,,Gold,-0.2370371078301871,,,,,
2002-01-02,OLS,BUY,0.0213680629344041,True,BETA,Gold,-0.2374428951751081,0.2374428951751081,MSCI World ex-US,-0.2198962665868906,,Gold,-0.2374428951751081,,,,,
2002-06-27,OLS,BUY,0.0218072603813006,True,BETA,MSCI World ex-US,-0.1893348372651057,0.1893348372651057,MSCI World ex-US,-0.1893348372651057,,Gold,-0.1848546060372348,,,,,
2002-09-13,OLS,SELL,-0.0218142730683303,True,BETA,MSCI World - Dow Jones,-0.2006154291281919,0.2006154291281919,MSCI World - Dow Jones,-0.2006154291281919,,Gold,-0.0897672893380868,,VIX Index,0.0058168037563638,,
2003-02-13,OLS,BUY,0.0088476632179805,True,BETA,Gold,-0.1931134040754127,0.1931134040754127,Gold,-0.1931134040754127,,MSCI World - Dow Jones,-0.147048480670894,,,,,
2003-03-17,OLS,SELL,-0.0252542724693835,True,BETA,Gold,-0.2555207510770629,0.2555207510770629,Gold,-0.2555207510770629,,MSCI World - Dow Jones,-0.0899100968920078,,,,,
2003-03-25,OLS,SELL,-0.0159542583114307,True,BETA,Gold,-0.2541213227760686,0.2541213227760686,Gold,-0.2541213227760686,,MSCI World - Dow Jones,-0.0978725378285629,,,,,
2003-05-09,OLS,SELL,-0.0289166270605598,True,BETA,Gold,-0.2556128674683141,0.2556128674683141,Gold,-0.2556128674683141,,MSCI World - Dow Jones,-0.0902771456430857,,VIX Index,0.0134477998550005,,
2003-05-14,OLS,SELL,-0.0259450795757629,True,BETA,Gold,-0.2570775033997734,0.2570775033997734,Gold,-0.2570775033997734,,MSCI World - Dow Jones,-0.0894996926822671,,VIX Index,0.0128985820249638,,
2003-05-19,OLS,SELL,-0.013790822233248,True,BETA,Gold,-0.2587930432497319,0.2587930432497319,Gold,-0.2587930432497319,,MSCI World - Dow Jones,-0.0937656745175665,,VIX Index,0.0115163690641738,,
2003-07-17,OLS,SELL,-0.002452706476602,True,BETA,Gold,-0.2980339663821928,0.2980339663821928,Gold,-0.2980339663821928,,MSCI World - S&P500,-0.1542267589732353,,,,,
2004-09-22,OLS,SELL,-0.0050246492226014,True,BETA,Real 2y yield,-1.1937363925244038,1.1937363925244038,Gold,-0.4801464739746369,,MSCI World ex-US,-0.1273274170560364,,Real 2y yield,-1.1937363925244038,,
2004-10-04,OLS,SELL,-0.0137274603519443,True,BETA,Real 2y yield,-1.0636888971195977,1.0636888971195977,Gold,-0.4798307293192574,,MSCI World ex-US,-0.1312082239870164,,Real 2y yield,-1.0636888971195977,,
