Date,Model_Name,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Train_RMSE,Validation_RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Driver_1_SHAP,Driver_2_SHAP,Driver_3_SHAP,Attribution_Method,Best_Params,Alpha,L1_Ratio,N_Estimators,Max_Depth,Learning_Rate,Subsample,Retuned,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Attribution_Driver,Largest_Attribution_Value,Largest_Attribution_Abs,Attribution_Method,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Rolling_Sharpe,Strategy_Drawdown
2001-07-03,ols,10.8641,10.906231192949589,10.906231192949589,-0.8788506033079457,0.38705194857325476,-1.2659025518812004,0.20471187369188792,0.19827229372178168,0.7320397827698637,0.7320397827698637,0.7783324857686389,0.7335082692663236,250,2,"MSCI World ex-US, Gold",0.04003746848374885,MSCI World ex-US,Gold,,-0.3227657373103446,-0.20531298810682191,,,,,BETA,{},,,,,,,True,True,,-0.042131192949588225,,,NEUTRAL,0,False,-0.012895683949890047,,MSCI World ex-US,-0.3227657373103446,0.3227657373103446,BETA,0.0,0.0,1.0,,0.0
2001-07-04,ols,10.8786,10.93297627147403,10.93297627147403,0.1333781190890892,0.2449273119290838,-0.1115491928399946,0.1952736274538559,0.18875762443728783,0.7327145750262839,0.7327145750262839,0.7783372890640288,0.7341844151695535,250,2,"MSCI World ex-US, Gold",0.031470609368491734,MSCI World ex-US,Gold,,-0.31441357894129124,-0.19947024999643287,,,,,BETA,{},,,,,,,True,False,,-0.05437627147403035,,,NEUTRAL,0,False,-0.02925008732741352,,MSCI World ex-US,-0.31441357894129124,0.31441357894129124,BETA,0.0,0.0,1.0,,0.0
2001-07-05,ols,11.0045,11.010102188642401,11.010102188642401,1.1506723374908656,0.7029664038612752,0.44770593362959044,0.19740142763610236,0.19090265377080762,0.7316159750997162,0.7316159750997162,0.7813265363740287,0.733083611429484,250,2,"MSCI World ex-US, Gold",0.03346121192365382,MSCI World ex-US,Gold,,-0.31477422339943206,-0.20445876646237815,,,,,BETA,{},,,,,,,True,False,,-0.005602188642400918,,,NEUTRAL,0,False,-0.034667635967104427,,MSCI World ex-US,-0.31477422339943206,0.31477422339943206,BETA,0.0,0.0,1.0,,0.0
2001-07-06,ols,10.9339,11.0611308141479,11.0611308141479,-0.6436225405398677,0.4624002331084894,-1.106022773648357,0.20006653855227619,0.19358934453245646,0.7309634052506188,0.7309634052506188,0.7788801166204641,0.7324297325121719,250,2,"MSCI World ex-US, Gold",0.037781188097491494,MSCI World ex-US,Gold,,-0.31549281732352263,-0.20528903952338962,,,,,BETA,{},,,,,,,True,False,,-0.12723081414790016,,,NEUTRAL,0,False,-0.02560842883143244,,MSCI World ex-US,-0.31549281732352263,0.31549281732352263,BETA,0.0,-0.0,1.0,,0.0
2001-07-09,ols,10.9226,11.055638143106385,11.055638143106385,-0.1034017432509415,-0.04966974303574131,-0.053732000215200186,0.19605027520756424,0.18954056083677517,0.7338658936359209,0.7338658936359209,0.7843334276744954,0.7353380433474287,250,2,"MSCI World ex-US, Gold",0.03560865214358804,MSCI World ex-US,Gold,,-0.3092238243469368,-0.20883981551754946,,,,,BETA,{},,,,,,,True,False,,-0.1330381431063863,,,NEUTRAL,0,False,-0.020361452401442715,,MSCI World ex-US,-0.3092238243469368,0.3092238243469368,BETA,0.0,-0.0,1.0,,0.0
2001-07-10,ols,10.8582,11.052035405446883,11.052035405446883,-0.5913482302608131,-0.03259264421000818,-0.5587555860508049,0.19632825195328385,0.18982078840634686,0.7337975366222579,0.7337975366222579,0.7797968537078233,0.7352695492082243,250,2,"MSCI World ex-US, Gold",0.036049126557559485,MSCI World ex-US,Gold,,-0.30925872820776623,-0.20928538628042848,,,,,BETA,{},,,,,,,True,False,,-0.19383540544688316,,,NEUTRAL,0,False,-0.017866681402074036,,MSCI World ex-US,-0.30925872820776623,0.30925872820776623,BETA,0.0,-0.0,1.0,,0.0
2001-07-11,ols,10.825,11.062528472027772,11.062528472027772,-0.3062281023519908,0.09489734843054282,-0.40112545078253364,0.19639892489159816,0.18989203359517381,0.7343611129745966,0.7343611129745966,0.7790990889452574,0.7358342561060368,250,2,"MSCI World ex-US, Gold",0.0350451551979061,MSCI World ex-US,Gold,,-0.30983943373414446,-0.20895296166614105,,,,,BETA,{},,,,,,,True,False,,-0.2375284720277726,,,NEUTRAL,0,False,-0.020387990762124608,,MSCI World ex-US,-0.30983943373414446,0.30983943373414446,BETA,0.0,-0.0,1.0,,0.0
2001-07-12,ols,10.8276,11.055120941262738,11.055120941262738,0.0240155917764717,-0.06698298633439331,0.09099857811086501,0.1958341644298166,0.1893227001741875,0.7344076166205427,0.7344076166205427,0.7792283583059099,0.73588085303923,250,2,"MSCI World ex-US, Gold",0.03512328089084548,MSCI World ex-US,Gold,,-0.30827468078049824,-0.21062987346597037,,,,,BETA,{},,,,,,,True,False,,-0.22752094126273725,,,NEUTRAL,0,False,-0.022885958107059734,,MSCI World ex-US,-0.30827468078049824,0.30827468078049824,BETA,0.0,0.0,1.0,,0.0
2001-07-13,ols,10.8034,11.049167145544459,11.049167145544459,-0.2237530405115428,-0.05387005307638536,-0.16988298743515745,0.18785262102169775,0.18127652888422152,0.7280924525342043,0.7280924525342043,0.7754600531919322,0.7295530206069876,250,2,"MSCI World ex-US, Gold",0.03078114527222975,MSCI World ex-US,Gold,,-0.297080309000099,-0.20885454307502815,,,,,BETA,{},,,,,,,True,False,,-0.245767145544459,,,NEUTRAL,0,False,-0.02178943665882971,,MSCI World ex-US,-0.297080309000099,0.297080309000099,BETA,0.0,-0.0,1.0,,0.0
2001-07-16,ols,10.805,11.061552438792427,11.061552438792427,0.0148090557646529,0.1120297735774072,-0.0972207178127543,0.18605805397271746,0.17946743092796202,0.7280860749431287,0.7280860749431287,0.7766062783037391,0.7295466302223363,250,2,"MSCI World ex-US, Gold",0.029519319676103828,MSCI World ex-US,Gold,,-0.29596086648907627,-0.20923998287352413,,,,,BETA,{},,,,,,,True,False,-0.37333795056955255,-0.2565524387924274,,,NEUTRAL,0,False,-0.020879222582137924,,MSCI World ex-US,-0.29596086648907627,0.29596086648907627,BETA,0.0,0.0,1.0,,0.0
