Date,OLS,RidgeCV,LassoCV,ElasticNetCV,SGDRegressor,XGBRegressor,LGBMRegressor,StackedEnsemble,PolicyAgent
2001-07-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-07-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-08-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-08-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-08-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-08-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-08-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-08-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-08-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-08-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001-08-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
