Driver,Mean_Abs_SHAP,Mean_SHAP,Observations,Theme
MSCI World ex-US,0.15440558637611682,0.0002692819285148609,71466,Equities/Risk
BCOM Index,0.14527990420806156,-0.004832740160421385,20406,Commodities
Gold,0.14395687140666935,0.001009586453497571,69102,Commodities
MSCI EM,0.1433078659870488,0.02697356905009538,3840,Equities/Risk
NG1 COMB Comdty,0.1429616210765367,0.03754433926041584,40,Commodities
Local Index,0.1256109432536754,-0.0063612446137899185,8904,Equities/Risk
Oil,0.12379831229012483,0.004191851227850123,6810,Commodities
Local - Wilshire,0.11752932580488107,-0.0029436639514228624,2944,Equities/Risk
Local - S&P500,0.11255766585952713,0.0032862289446054017,2510,Equities/Risk
10y yield,0.10852019258727819,-0.003985697804308383,6134,Yields
5y yield,0.10186863723009461,-0.0012584133932754076,24288,Yields
FN1 Comdty,0.10098468868568614,-0.09094905307880946,306,Commodities
Local - Dow Jones,0.10031120991189334,-0.000789155718841217,4036,Equities/Risk
Copper LME,0.0966652754974148,-0.002722402135846744,15914,Commodities
6m1m forward OIS,0.0952415484562465,-0.0031305333723982668,3452,Yields
2y yield,0.09465247460936821,-0.00039117306329287434,25798,Yields
1y1m forward OIS,0.09314848812610647,-0.0010782942845749596,4792,Yields
MSCI World - Wilshire,0.09174040342840664,-0.001012083113352136,4444,Equities/Risk
MSCI World - Dow Jones,0.08701054284225433,0.001612119464636672,8244,Equities/Risk
Real 2y yield,0.0863979261380351,0.00169874711451452,17804,Yields
MSCI World - S&P500,0.08396841298290969,0.0019137641736606714,6764,Equities/Risk
JPMVG71M Index,0.08010041341330609,-0.014882288243669314,494,Equities/Risk
Asia EMFX,0.07220221943849238,-0.004007055360807114,16388,FX Broad Indices
Crude oil WCS,0.06173096777516023,0.002938209889527964,220,Commodities
VIX Index,0.061081920459405616,-0.001670604026276738,4940,Equities/Risk
MOVE Index,0.05490927021433614,-0.005505554396089211,1768,Equities/Risk
3m1m forward OIS,0.0491675115441582,-0.012910436361535644,450,Yields
TZT1 Comdty,0.030216832147447865,-0.030199897796778882,32,Commodities
