Date,StackedEnsemble_G10,PolicyAgent_G10
2001-07-03,1.0,
2001-07-04,1.0,
2001-07-05,1.0,
2001-07-06,1.0,
2001-07-09,1.0,
2001-07-10,1.0,
2001-07-11,1.0,
2001-07-12,1.0,
2001-07-13,1.0,
2001-07-16,1.0,
2001-07-17,1.0,
2001-07-18,1.0,
2001-07-19,1.0,
2001-07-20,1.0,
2001-07-23,1.0,
2001-07-24,1.0,
2001-07-25,1.0,
2001-07-26,1.0,
2001-07-27,1.0,
2001-07-30,1.0,
2001-07-31,1.0,
2001-08-01,1.0,
2001-08-02,1.0,
2001-08-03,1.0,
2001-08-06,1.0,
2001-08-07,1.0,
2001-08-08,1.0,
2001-08-09,1.0,
2001-08-10,1.0,
2001-08-13,1.0,
2001-08-14,1.0,
2001-08-15,1.0,
2001-08-16,1.0,
2001-08-17,1.0,
2001-08-20,1.0,
2001-08-21,1.0,
2001-08-22,1.0,
2001-08-23,1.0,
2001-08-24,1.0,
2001-08-27,1.0,
2001-08-28,1.0,
2001-08-29,1.0,
2001-08-30,1.0,
2001-08-31,1.0,
2001-09-03,1.0,
2001-09-04,1.0,
2001-09-05,1.0,
2001-09-06,1.0,
2001-09-07,1.0,
2001-09-10,1.0,
2001-09-11,1.0,
2001-09-12,1.0,
2001-09-13,1.0,
2001-09-14,1.0,
2001-09-17,1.0,
2001-09-18,1.0,
2001-09-19,1.0,
2001-09-20,1.0,
2001-09-21,1.0,
2001-09-24,1.0,1.0002883635352082
2001-09-25,1.0012851894079269,0.9988704589517188
2001-09-26,1.0007034222831328,0.9964774579711484
2001-09-27,0.9999005422507126,0.9964556961638374
2001-09-28,0.9983101258731808,0.9985421955792062
2001-10-01,1.0003356907677379,0.9988509732407829
2001-10-02,1.0001460482647977,0.9990444483005605
2001-10-03,1.0003983881452743,0.9995256626860528
2001-10-04,1.001406628430345,0.9999150365900442
2001-10-05,1.0020378157423329,1.0001915491984057
2001-10-08,1.002855668203797,1.000304249501618
2001-10-09,1.0022396726871898,1.0000648994287495
2001-10-10,1.0014719268797048,1.0000648994287495
2001-10-11,1.000946128466244,1.0000648994287495
2001-10-12,1.0015862308826309,1.0000648994287495
2001-10-15,1.0015862308826309,1.0011336069659578
2001-10-16,1.0026857819543027,1.000979389293638
2001-10-17,1.0029496630751435,1.0004927911527974
2001-10-18,1.0029496630751435,1.0004927911527974
2001-10-19,1.0029496630751435,0.9996303446203572
2001-10-22,1.0029496630751435,0.9996303446203572
2001-10-23,1.0029496630751435,0.9996303446203572
2001-10-24,1.0029496630751435,0.9994667048731591
2001-10-25,1.0029496630751435,0.9994667048731591
2001-10-26,1.0029496630751435,0.9994667048731591
2001-10-29,1.0029496630751435,0.9994667048731591
2001-10-30,1.0029496630751435,0.9994667048731591
2001-10-31,1.0029496630751435,0.9994667048731591
2001-11-01,1.0029496630751435,0.9994667048731591
2001-11-02,1.0029496630751435,0.9994667048731591
2001-11-05,1.0029496630751435,0.9994667048731591
2001-11-06,1.0029496630751435,0.9994667048731591
2001-11-07,1.0029496630751435,0.9994667048731591
2001-11-08,1.0029496630751435,0.9994667048731591
2001-11-09,1.0029496630751435,0.9994667048731591
2001-11-12,1.0029496630751435,0.9994667048731591
2001-11-13,1.0029496630751435,0.9994667048731591
2001-11-14,1.0029496630751435,0.9994667048731591
2001-11-15,1.0029496630751435,0.9994667048731591
2001-11-16,1.0029496630751435,0.9994667048731591
2001-11-19,1.0029496630751435,0.9994667048731591
2001-11-20,1.0029496630751435,0.9994667048731591
2001-11-21,1.0029496630751435,0.9994667048731591
2001-11-22,1.0029496630751435,0.9994667048731591
2001-11-23,1.0029496630751435,0.9994667048731591
2001-11-26,1.0029496630751435,0.9994667048731591
2001-11-27,1.0029496630751435,0.9994667048731591
2001-11-28,1.0029496630751435,0.9994667048731591
2001-11-29,1.0029496630751435,0.9994667048731591
2001-11-30,1.0029496630751435,0.9994667048731591
2001-12-03,1.0029496630751435,0.9994667048731591
2001-12-04,1.0029496630751435,0.9994667048731591
2001-12-05,1.0029496630751435,0.9994667048731591
2001-12-06,1.0029496630751435,0.9994667048731591
2001-12-07,1.0029496630751435,0.9994667048731591
2001-12-10,1.0029496630751435,0.9994667048731591
2001-12-11,1.0029496630751435,0.9994667048731591
2001-12-12,1.0029496630751435,0.9994667048731591
2001-12-13,1.00415205099108,0.9994667048731591
2001-12-14,1.0028812334933472,1.0002206348034843
2001-12-17,1.0029892381813799,0.999564781417228
2001-12-18,1.0022149507459628,0.9998550401272
2001-12-19,1.0025115769489634,1.0002562801086317
2001-12-20,1.0006956392569575,1.0024286386834689
2001-12-21,1.0029137541583186,1.0007072051304755
2001-12-24,1.0014784268969812,1.0010307393350244
2001-12-25,1.0016983929886347,1.0012368349461318
2001-12-26,1.0016032032866786,1.0023172399102085
2001-12-27,1.0034407618563683,1.0041671682142985
2001-12-28,1.005975347527205,1.0049700067119784
2001-12-31,1.005975347527205,1.0049700067119784
2002-01-01,1.0060195347948624,1.0049700067119784
2002-01-02,1.0060195347948624,1.0049700067119784
2002-01-03,1.0060195347948624,1.0049700067119784
2002-01-04,1.0060195347948624,1.0049700067119784
2002-01-07,1.0060195347948624,1.0049700067119784
2002-01-08,1.0060195347948624,1.0049700067119784
2002-01-09,1.0060195347948624,1.0049700067119784
2002-01-10,1.0060195347948624,1.0052555787842798
2002-01-11,1.0061597329886947,1.0054403849665656
2002-01-14,1.0063806017834998,1.0054403849665656
2002-01-15,1.0063806017834998,1.0055410480498863
2002-01-16,1.0063806017834998,1.0054807854877235
2002-01-17,1.0063194187156006,1.0053899628480276
2002-01-18,1.0063194187156006,1.0055922407207023
2002-01-21,1.0063194187156006,1.0057462455031267
2002-01-22,1.0063194187156006,1.0057462455031267
2002-01-23,1.0063194187156006,1.0057462455031267
2002-01-24,1.0063194187156006,1.0057462455031267
2002-01-25,1.0063194187156006,1.0054615514173775
2002-01-28,1.005175046059815,1.0061568869916466
2002-01-29,1.0070802866852886,1.005887119799594
2002-01-30,1.0067603315119735,1.0045379473167695
2002-01-31,1.0051635897899374,1.0049232548568574
2002-02-01,1.0058576850890664,1.0067582047473485
2002-02-04,1.00871909594848,1.0067582047473485
2002-02-05,1.009052715588374,1.0072979789493093
2002-02-06,1.009707432259589,1.0072979789493093
2002-02-07,1.009707432259589,1.0072979789493093
2002-02-08,1.009707432259589,1.0072979789493093
2002-02-11,1.009707432259589,1.0072979789493093
2002-02-12,1.009707432259589,1.0072979789493093
2002-02-13,1.009707432259589,1.0072979789493093
2002-02-14,1.009707432259589,1.0072979789493093
2002-02-15,1.009707432259589,1.0072979789493093
2002-02-18,1.009707432259589,1.0072979789493093
2002-02-19,1.009707432259589,1.0072979789493093
2002-02-20,1.009707432259589,1.0072979789493093
