Currency,Variable,ADF p-val (Level),ADF p-val (Diff),Order of Integration,Johansen Trace Stat,95% Crit Value,Is Cointegrated
aud,AUDUSD,0.364782691,0,I(1),,,No
aud,BBDXY,0.570035223,0,I(1),9.315085098,15.4943,No
aud,Asia EMFX,0.594493388,0,I(1),27.29631751,15.4943,Yes
aud,2y yield,0.530706055,4.89E-28,I(1),12.83860202,15.4943,No
aud,5y yield,0.550705125,0,I(1),15.44553176,15.4943,No
aud,10y yield,0.458409558,0,I(1),18.68514934,15.4943,Yes
aud,Real 2y yield,0.029408666,1.05E-29,I(0),17.60530657,15.4943,Yes
aud,Local - S&P500,0.177700741,0,I(1),12.50745418,15.4943,No
aud,Local - Wilshire,1,0,I(1),14.61233677,15.4943,No
aud,Local - Dow Jones,0.999087674,0,I(1),11.09771923,15.4943,No
aud,MSCI World - S&P500,0.999086002,7.44E-26,I(1),10.08246224,15.4943,No
aud,MSCI World - Wilshire,0.99903699,2.89E-27,I(1),13.44236813,15.4943,No
aud,MSCI World - Dow Jones,0.99893378,0,I(1),10.21622267,15.4943,No
aud,MSCI World ex-US,0.93028012,2.27E-26,I(1),8.0590168,15.4943,No
aud,MSCI EM,0.676469029,1.09E-24,I(1),3.989603346,15.4943,No
aud,Local Index,0.863449307,0,I(1),4.834819725,15.4943,No
aud,BCOM Index,0.407151686,0,I(1),6.173144488,15.4943,No
aud,Gold,1,0,I(1),32.04254893,15.4943,Yes
aud,Oil,0.117684165,0,I(1),22.53628092,15.4943,Yes
aud,UK Natural Gas,0.002678879,4.28E-27,I(0),33.25697788,15.4943,Yes
aud,TTF Natural Gas,0.016287624,1.82E-23,I(0),24.20122741,15.4943,Yes
aud,NY Natural Gas,0.018814969,0,I(0),15.46060657,15.4943,No
aud,Copper COMEX,0.770013546,0,I(1),9.959050889,15.4943,No
aud,Copper LME,0.743752221,0,I(1),3.66569793,15.4943,No
aud,VIX,4.81E-08,0,I(0),65.20048542,15.4943,Yes
aud,USTs Volatility,0.008776267,2.47E-30,I(0),40.08047251,15.4943,Yes
aud,G10 FX Volatility,0.002092001,1.37E-26,I(0),34.99386229,15.4943,Yes
aud,Iron ore,0.022639165,0,I(0),17.10041853,15.4943,Yes
aud,Coking coal,0.000844412,3.65E-28,I(0),31.94761473,15.4943,Yes
